Country,Homicide_Rate
"Middle East, North Africa, Afghanistan & Pakistan",3.9
Albania,1.38708340817063
Algeria,1.16107238811947
Antigua and Barbuda,10.7163332993983
Argentina,4.49291137824536
Armenia,2.20833575400906
Australia,0.854406035826682
Austria,0.876191031111463
Azerbaijan,2.16122820563689
Barbados,7.43794627677661
Bermuda,6.18257133141674
Bolivia,4.41843313132273
Bosnia and Herzegovina,1.22446173133237
Brazil,19.2752957673079
Bulgaria,1.08890737415431
Canada,1.97968887560784
Chile,6.34829073035101
Colombia,24.9134420347488
Costa Rica,17.7454798727379
Croatia,0.667347104040825
Cyprus,0.81785876397005
Czech Republic,0.767827757917044
Denmark,0.840599404536194
Dominica,27.063396005142
Dominican Republic,10.9166976980638
Ecuador,45.7228145164847
Estonia,1.53599045052794
Fiji,2.0559533103824
Finland,0.98193498501344
France,1.33506280409367
Germany,0.910722780231795
Greece,0.839605274224601
Grenada,13.6657527694502
Guatemala,23.3657267272051
Guyana,19.1201580922439
Haiti,41.1518089717388
Honduras,31.4424316507577
Hong Kong,0.376205815214825
Hungary,0.722657964901225
Iceland,1.29013114183057
Ireland,0.654270171245596
Italy,0.568072449338316
Jamaica,49.4403451527686
Japan,0.229153196964695
Jordan,0.987830151085125
South Korea,0.477306316584835
Latvia,2.49681788529087
Lithuania,2.62779952622526
Macau,0.560293537784445
Malaysia,0.734492430713877
Malta,0.562898250512237
Mexico,24.8589948436701
Moldova,2.54314378217647
Mongolia,5.91503475082916
Montenegro,0.789201202111271
Morocco,1.70500474577332
Burma,2.57510107248619
Netherlands,0.690893081283378
Nigeria,15.7466808233499
Macedonia,1.52854990019388
Norway,0.724747049690651
Oman,0.138633928990513
Pakistan,4.33487075793336
Panama,11.7072934419645
Paraguay,6.7795163925492
Philippines,4.34759149828352
Poland,0.802314721828908
Puerto Rico (US),14.5896581532053
Romania,1.10887485110282
Serbia,1.31400205013848
Singapore,0.0690954942050905
Slovakia,1.12358440823663
Slovenia,0.566466326409227
Spain,0.690855954769765
St. Kitts and Nevis,64.1601437187219
Saint Lucia,39.0440891432332
Saint Vincent and the Grenadines,51.3212761232698
Suriname,6.51946457704576
Sweden,1.14675703743944
Switzerland,0.597481940544685
Turkey,3.22789482308636
Uganda,8.97308867739149
United States,5.76340794073065
Uruguay,11.2453054170348
Bahamas,32.1981392997156
Bahrain,0.195636140255462
Belize,28.0582917218107
Cameroon,6.76008919336955
El Salvador,7.89768799960639
Ghana,1.83111773115644
India,2.81530423021647
Indonesia,0.303768746039586
Israel,1.62581066709758
Kazakhstan,2.55058633787163
Kenya,4.87166844718499
Luxembourg,1.5306610542428
Mauritius,2.27249663925174
New Zealand,1.46149415952832
Portugal,0.719971949892832
Qatar,0.0691454145354033
Seychelles,7.96669919735506
South Africa,43.7202551331462
Trinidad and Tobago,40.4432986623964
Turks and Caicos Islands,76.3400403511642
UAE,0.693218125037315
Venezuela,12.6466448562847
Palestine,0.622023007311598
Zimbabwe,6.75833125350771
Afghanistan,4.0324584656778
Belgium,1.08030153549307
Botswana,11.3681767255945
Swaziland,12.5145709802017
Kosovo,1.89497747704421
Liechtenstein,5.12242598094458
Namibia,11.2077806904171
Nicaragua,11.3473196321723
Peru,8.60480803979216
Russia,6.76512531955806
Ukraine,3.77663964401616
United Kingdom,1.11868407522333
Uzbekistan,1.39879762685076
Andorra,2.58464719565779
Bhutan,2.46751324015657
Cabo Verde,6.99464423976475
Cayman Islands,4.3677976836113
China,0.5018560705357
Kuwait,0.249991818449578
Kyrgyzstan,1.74734308054439
Lebanon,2.24466989542556
Mauritania,0.999971522550119
Nepal,2.13004129984372
Rwanda,3.61247427164444
Sierra Leone,2.22431228940123
Tajikistan,0.892370798940089
Tanzania,3.74921291744897
Tunisia,4.69348024650292
Vanuatu,0.3346065111081
Belarus,2.38463165310244
Cuba,4.46315139638841
Georgia,2.02806499553233
Guam,4.32611490161179
Maldives,0.615093155858455
Micronesia,0.906766290056401
Saudi Arabia,0.935259944754359
Sri Lanka,3.31094038448808
Tonga,0.946346864516251
American Samoa,25.5360106858383
Bangladesh,2.34217668208578
Palau,11.2268096213758
Samoa,6.26258538794308
Benin,1.1274974068
Burkina Faso,1.25044051977478
Egypt,1.31152527182627
Guinea-Bissau,1.11876398954435
