Country,GDP_Per_Capita,Life_Expectancy,Infant_Mortality,Gini_Index
Namibia,4413.12752211572,67.385,38.4,
Nauru,13609.158837552,62.109,8.3,
Nepal,1447.31004458428,70.354,23.3,30.0
Netherlands,67520.4218956281,81.9146341463415,3.5,25.7
New Caledonia,29213.1923192946,78.766,,
New Zealand,49205.1792146792,83.0048780487805,4.0,
Nicaragua,2847.53966339498,74.947,10.3,
Niger,735.270255787226,61.183,67.4,32.9
Nigeria,1084.16041805436,54.462,60.1,33.9
Macedonia,9291.85661671864,75.3160975609756,2.8,
Norway,86785.4334489176,83.1121951219512,1.9,26.5
Oman,20285.2272897377,80.031,8.4,
Pakistan,1478.77277977996,67.649,50.1,
Panama,19161.2188501596,79.594,10.6,49.7
Papua New Guinea,3006.70564478923,66.134,32.0,
Paraguay,6416.09708970845,73.844,15.1,44.2
Peru,8452.37167056621,77.74,13.5,40.1
Philippines,3984.8315387656,69.833,22.1,39.3
Poland,25103.565661423,78.5073170731707,3.7,28.5
Portugal,29292.242104753,82.2804878048781,2.6,33.9
Puerto Rico (US),39343.7154660139,81.69,,
Qatar,76688.6941743178,82.368,4.9,
Romania,20080.2096215595,76.6073170731707,5.4,29.8
Russia,14889.0185546875,73.2546341463415,3.7,33.0
Rwanda,999.65456165547,67.785,30.5,39.4
Samoa,5392.87761915762,71.698,12.8,
Sao Tome and Principe,3490.56883486557,69.718,9.4,
Saudi Arabia,35121.6628687742,78.732,4.9,
Senegal,1773.21829923448,68.683,30.2,36.2
Serbia,13679.2065983557,76.2209756097561,4.5,32.8
Seychelles,17858.8226383978,74.9585365853659,13.1,
Sierra Leone,806.654650417726,61.786,56.2,
Singapore,90674.066632628,82.8951219512195,1.7,
Sint Maarten (Dutch part),41472.5874498583,76.371,,
Slovakia,25992.6748502048,78.0170731707317,5.1,23.8
Slovenia,34301.0318686594,81.9780487804878,1.8,24.7
Solomon Islands,1933.55538435227,70.528,16.5,
"Somalia, Fed. Rep.",629.538899449007,58.816,67.8,
South Africa,6267.186814093,66.139,24.4,
Spain,35326.7683069278,83.8829268292683,2.6,33.4
Sri Lanka,4515.56787322732,77.483,5.3,
St. Kitts and Nevis,23960.6534357084,72.145,14.3,
Saint Lucia,14181.6303351598,72.697,14.3,
Saint Vincent and the Grenadines,11501.2265187188,71.23,9.9,
Sudan,984.607666015625,66.331,39.2,
Suriname,6961.78955961526,73.631,15.2,39.2
Sweden,57117.4877440616,83.309756097561,2.0,29.3
Switzerland,103998.186685604,84.0560975609756,3.5,33.8
Tajikistan,1341.20229027672,71.79,22.9,36.1
Tanzania,1186.71691894531,66.995,29.9,
Thailand,7346.62022142185,76.412,8.0,33.5
Timor-Leste,1331.9705130185,67.689,35.9,
Togo,1119.38160509429,62.739,35.9,37.9
Trinidad and Tobago,18733.4110406494,73.49,17.2,
Tunisia,4181.13789301228,76.508,10.6,33.7
Turkey,15892.7157287241,77.156,9.1,44.5
Turkmenistan,6856.65802730208,70.073,31.2,
Turks and Caicos Islands,37506.7798431288,78.008,4.0,
Uganda,1077.91278452817,68.252,27.6,
Ukraine,5389.47314453125,73.422,7.8,25.6
UAE,50273.5060469837,82.909,4.0,
United Kingdom,53246.3676145108,81.2380975609756,4.0,32.4
United States,84534.0407841548,78.3853658536585,5.5,41.8
Uruguay,23906.5133029408,78.138,5.5,40.0
Uzbekistan,3161.70010632875,72.388,12.7,34.6
Vanuatu,3410.77023167097,71.477,14.2,
Venezuela,4217.59102643391,72.514,21.5,
Vietnam,4717.29028732449,74.588,14.0,36.1
Palestine,2592.30591217647,65.17,14.3,36.4
Zambia,1187.10943350064,66.349,30.9,51.5
Zimbabwe,2497.20332208763,62.775,40.6,
Afghanistan,413.757894705303,66.035,50.4,
Bhutan,3831.32535494609,72.975,18.5,28.5
Cayman Islands,99143.5180243123,80.358,,
Channel Islands,74585.5224096294,81.1,,
Greenland,58498.9707973609,71.549756097561,,
Lebanon,3477.72489842684,77.817,16.0,35.3
Liechtenstein,206780.590353385,84.8414634146342,,
Palau,15610.8231931032,69.269,19.1,
San Marino,59879.7173015651,85.706,1.4,
Tonga,5651.59373063157,72.895,8.0,27.1
Tuvalu,6344.7750188689,67.105,17.1,
American Samoa,18017.4589383973,72.852,,
Guam,41833.1517132825,77.209,,
Isle of Man,88328.548125887,80.999,,
Northern Mariana Islands,23785.754590043,78.808,,
Syria,1051.67149587463,72.12,19.0,26.6
US Virgin Islands,44320.909185774,80.519512195122,,
St. Martin (French part),21668.3776525323,80.224,,
Cuba,9605.27914559614,78.085,6.6,
British Virgin Islands,,77.276,11.6,
Eritrea,,68.624,25.5,
Gibraltar,,83.553,,
North Korea,,73.642,14.5,
South Sudan,,57.617,72.6,
Yemen,,69.295,34.7,
